Portfolio_ID,US_Equity,International,Emerging_Markets,Bonds,Real_Estate,Expected_Return_Annual,Volatility_Annual,VaR_95_5Year,VaR_95_Annual,Prob_Exceed_60pct,Mean_Return,Std_Dev_Return,Min_Return,Max_Return,P1,P5,P10,P25,P50,P75,P90,P95,P99
131,0.5062440392634922,0.1399697954195259,0.021437768102987274,0.2970449040320077,0.03530349318198703,0.08223136391376926,0.12189959722085854,0.49949082837962566,0.08439813689915554,0.0,0.5085480738885294,0.005137170208320742,0.4914180486885973,0.5270276124633024,0.496916097013079,0.49949082837962566,0.5018621172610862,0.5052119284481769,0.5087606099137326,0.5120003154421002,0.5151410488505257,0.5165358817701553,0.5198659737637042
132,0.029298270228534328,0.4250715650573471,0.08266860690039235,0.37715134573683484,0.08581021207689139,0.07538788731663758,0.11854462860869877,0.44869627300701015,0.07694982137913842,0.0,0.45776836567519197,0.005304293684272499,0.44132056523363095,0.47536372710449215,0.4454574117477404,0.44869627300701015,0.45063178721408337,0.4543913764451004,0.4578746620200783,0.46121295169983056,0.46421737895528675,0.46671397041083446,0.4702677205500287
133,0.07140673247436208,0.47458130519712427,0.34005604437528547,0.02501001896770059,0.0889458989855276,0.09809001758057925,0.2006723851829048,0.6150211095465966,0.10061554042725018,0.998,0.6330724729740118,0.01071646944286391,0.5969276007204218,0.667692807024693,0.6070177263527581,0.6150211095465966,0.6191808979845997,0.6261442182620597,0.6332742368295183,0.639833398543431,0.6465241687164706,0.6506767090249984,0.6582460842889495
134,0.15108370920017936,0.5100158423576767,0.11024313896116907,0.19881554633636808,0.029841763144606896,0.08532021598089448,0.15360686960920186,0.5208922759528972,0.08747602445127023,0.0,0.5319718061274328,0.0071009633848509775,0.5080534025821464,0.5529627827091146,0.5167544865054057,0.5208922759528972,0.5231543673063555,0.5272306352079013,0.5315668004744022,0.5366782842536133,0.5412816094084005,0.5441490185786504,0.5489302707142295
135,0.7042571670783184,0.03809285095833069,0.024805714383102008,0.023111708479115083,0.20973255910113373,0.09662268764880057,0.1619403196652111,0.6105946939470096,0.10001156917772036,1.0,0.6211055301731105,0.006582540488911865,0.6027670220967594,0.6446424459063216,0.606099332236342,0.6105946939470096,0.6126516138997877,0.6166416360292093,0.6211446798490619,0.6253122942506151,0.6298012760037467,0.6320875281175442,0.6368960338625057
136,0.005894437312668365,0.13553005677133018,0.02212022263644065,0.5634203204776969,0.27303496280186396,0.06525803551754134,0.07622163927654092,0.38176875668890975,0.06680998947660388,0.0,0.38578653878304425,0.0024679964713398305,0.37777201935424376,0.3923900862198395,0.38035743539895434,0.38176875668890975,0.3827259905313546,0.38405046681909943,0.3857505165339451,0.3875202678093463,0.389001367179605,0.38987092339951224,0.39132592652622744
137,0.1970635571065586,0.09231553665829036,0.6119942558936367,0.0657929111539109,0.03283373918760349,0.10430981096648052,0.21754909866864605,0.662618604337864,0.10702780006940515,1.0,0.6845776620174016,0.01342289903471112,0.6455608306577896,0.7228424890674778,0.6537142191885574,0.662618604337864,0.6672809005982732,0.6755454428852508,0.6846306984421883,0.6934660971672144,0.701567512124467,0.707124320258171,0.717314626875142
138,0.21626577783822948,0.024761610598148093,0.03436361000650316,0.21758205819187756,0.5070269433652418,0.0832305554099104,0.12179394793873322,0.5087749352450628,0.08573763516239286,0.0,0.5159763145521515,0.004367355899114988,0.5019354810850398,0.5326071244300354,0.5055928820145023,0.5087749352450628,0.5103544927448131,0.512978576200332,0.5160188635255628,0.5190838154101963,0.5214988164001032,0.5229629680729828,0.5258179951367525
139,0.4124046083870813,0.04529389737677536,0.3002820462243035,0.09651213942002622,0.14550730859181352,0.09728805096557723,0.1706575047115165,0.6128569519445118,0.10032041323407648,0.999,0.6263236056892686,0.00874647205066345,0.5994290229668011,0.6604930415445784,0.6072348975586659,0.6128569519445118,0.6148704112808816,0.6199901038379202,0.6261332331190553,0.6323062555186525,0.6375641144996237,0.6407327703177976,0.6461350981240701
140,0.6541407696234529,0.1757307065000821,0.13182874739945497,0.03751379484279637,0.000785981634213793,0.09814900561329508,0.17681730478602906,0.6194487433986563,0.10121835452532113,1.0,0.6330095290158936,0.008359703392868343,0.6027435873319869,0.6573866281920011,0.6153285362640573,0.6194487433986563,0.622399449743619,0.6271157222600943,0.6331107000741827,0.6385957340323916,0.6434765170965717,0.6473846545908882,0.6526495335038037
141,0.08733298385168156,0.07835865884649876,0.06932269957895408,0.1285857771042148,0.6363998806186508,0.086820037358301,0.13758556810836814,0.5346081966374179,0.08943043218890168,0.0,0.5435846137558711,0.005510965372152259,0.526396672705824,0.5595657808978778,0.5305794949205253,0.5346081966374179,0.5366046202997217,0.5399007387518222,0.543749073512314,0.5471659696052991,0.5506964801817974,0.5528753904160906,0.5554503700757498
